series_id,name,units,f,date,amount
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201408,6521
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201407,5564
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201406,3899
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201405,5925
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201404,5935
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201403,6422
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201402,5231
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201401,6191
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201312,7426
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201311,6346
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201310,6400
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201309,6235
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201308,6715
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201307,5817
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201306,4703
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201305,4952
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201304,5447
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201303,6525
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201302,5092
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201301,6782
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201212,6244
